config_id,seed,macro_f1,precision,recall,f1,balanced_accuracy,fpr,runtime_sec
A0_RF,42,0.8816191441877519,0.9043960359705019,0.8758596665001724,0.9038576401046279,0.8758596665001724,0.22897297297297298,23.73337721824646
A0_RF,123,0.8816881545444322,0.9046566192354915,0.8759051194258909,0.9039643404947447,0.8759051194258909,0.22935135135135135,23.834121704101562
A0_RF,2024,0.8815472751660304,0.9044013334308774,0.8757803985352535,0.9038210067853503,0.8757803985352535,0.22924324324324324,23.02714514732361
A1_FULL_STACK,42,0.8918154989710324,0.9063368750342596,0.8870463815286829,0.9097472166549492,0.8870463815286829,0.1946216216216216,0.4775242805480957
A1_FULL_STACK,123,0.8922152271107664,0.9070119321798771,0.8873935171735681,0.9101624353771458,0.8873935171735681,0.195,0.5137231349945068
A1_FULL_STACK,2024,0.8918998757064058,0.9065762494003802,0.8871030078884445,0.9098652121466408,0.8871030078884445,0.195,0.46082615852355957
A1b_SOFT_VOTE,42,0.8506324370045575,0.88670779734852,0.8446485323845376,0.8832324206002551,0.8446485323845376,0.2935405405405405,0.15424180030822754
A1b_SOFT_VOTE,123,0.8504127436352547,0.8870122595650906,0.8444091475998559,0.8832034032648065,0.8444091475998559,0.2947567567567568,0.1523902416229248
A1b_SOFT_VOTE,2024,0.8508803481814893,0.8868369922889583,0.8448941157072511,0.8833897419931506,0.8448941157072511,0.29302702702702704,0.15016412734985352
A2_NO_DT,42,0.8918608939509214,0.9063119555203245,0.8871033026255154,0.9097625994416574,0.8871033026255154,0.19435135135135134,0.40421175956726074
A2_NO_DT,123,0.8926973504744848,0.9073513477411767,0.8878935171735681,0.9105157148252276,0.8878935171735681,0.194,0.4190046787261963
A2_NO_DT,2024,0.8922701082039144,0.906788339873275,0.8874954267436446,0.9101212025814576,0.8874954267436446,0.19408108108108107,0.40520286560058594
A3_NO_RF,42,0.868511590410456,0.8848584788499755,0.8638051745682978,0.8912710247239283,0.8638051745682978,0.2274054054054054,0.4223952293395996
A3_NO_RF,123,0.8676288145404638,0.8858977630101366,0.8626848837932661,0.8912373220940735,0.8626848837932661,0.23389189189189188,0.4395732879638672
A3_NO_RF,2024,0.8663468491217472,0.8852020399633325,0.8613542984200764,0.8904047105655996,0.8613542984200764,0.237,0.4161529541015625
A4_NO_SVM,42,0.8916606859956157,0.9068049149588728,0.8867879813711675,0.9098128784862645,0.8867879813711675,0.1967027027027027,0.4102144241333008
A4_NO_SVM,123,0.8908153850162602,0.9071432768177774,0.8857626424386352,0.9094764994097428,0.8857626424386352,0.20118918918918918,0.4015047550201416
A4_NO_SVM,2024,0.890591400239165,0.9068847712310242,0.8855474801490355,0.9092827665465183,0.8855474801490355,0.20135135135135135,0.3596992492675781
A5_NO_NN,42,0.8917288062764763,0.9062348982827819,0.8869634873314397,0.909670920080591,0.8869634873314397,0.19467567567567567,0.560828685760498
A5_NO_NN,123,0.8923194864933208,0.9070852856523537,0.8875016252816762,0.9102387968915503,0.8875016252816762,0.19478378378378378,0.4027109146118164
A5_NO_NN,2024,0.891809553208508,0.9065044032098526,0.8870107533733201,0.9097965177260331,0.8870107533733201,0.19516216216216217,0.3870985507965088
A6_STACK_PLUS_AE,42,0.8916461070394397,0.906217282439683,0.8868707058530072,0.9096231324492194,0.8868707058530072,0.19497297297297297,2.0304319858551025
A6_STACK_PLUS_AE,123,0.8920457861748424,0.9068927723593876,0.8872178414978924,0.9100383752385346,0.8872178414978924,0.19535135135135134,0.6523187160491943
A6_STACK_PLUS_AE,2024,0.8917304472897997,0.9064568834543549,0.8869273322127688,0.9097411587028569,0.8869273322127688,0.19535135135135134,0.6454765796661377
