meta_feature,coefficient,mean_abs_shap,rank
svm_decision_score,1.0040176414202195,2.913711197008006,1
rf_attack_probability,6.346733007108281,2.4622666337378734,2
nn_attack_probability,0.6841001090552081,0.27229593573057786,3
dt_attack_probability,0.22184115821333703,0.09653071126770993,4
