system,population,n,TP,TN,FP,FN,Zero-Day Detection Rate,Macro Precision,Macro Recall,Macro F1,Attack Precision,Attack Recall,Attack F1,Balanced Accuracy,FPR,CI95_Lower,CI95_Upper,decision_scope
DT,"Combined (583 Backdoor + 37,000 Benign)",37583,577,26657,10343,6,0.9897084048027445,0.5263068984485366,0.8550839321311019,0.46888127747902925,0.05283882783882784,0.9897084048027445,0.10032165522037728,0.8550839321311019,0.27954054054054056,0.9777305833838908,0.9952749727461604,DESCRIPTIVE_ONLY
RF,"Combined (583 Backdoor + 37,000 Benign)",37583,582,28452,8548,1,0.9982847341337907,0.5318553734913583,0.8836288535533818,0.49461329218593336,0.06374589266155531,0.9982847341337907,0.11983939050756716,0.8836288535533818,0.23102702702702702,0.9903487843853768,0.9996971492600867,DESCRIPTIVE_ONLY
SVM,"Combined (583 Backdoor + 37,000 Benign)",37583,577,25509,11491,6,0.9897084048027445,0.5237886203147869,0.8395704186175885,0.4536551117068715,0.04781239642028505,0.9897084048027445,0.09121808552683583,0.8395704186175885,0.3105675675675676,0.9777305833838908,0.9952749727461604,DESCRIPTIVE_ONLY
NN,"Combined (583 Backdoor + 37,000 Benign)",37583,578,31360,5640,5,0.9914236706689536,0.5463982605126034,0.9194956191182606,0.5437017562078911,0.09295593438404631,0.9914236706689536,0.16997500367593,0.9194956191182606,0.15243243243243243,0.9800823313138053,0.9963313003193283,DESCRIPTIVE_ONLY
Stacking,"Combined (583 Backdoor + 37,000 Benign)",37583,582,29900,7100,1,0.9982847341337907,0.5378640383699255,0.9031964211209493,0.5173464672764163,0.0757615204373861,0.9982847341337907,0.14083484573502722,0.9031964211209493,0.1918918918918919,0.9903487843853768,0.9996971492600867,DESCRIPTIVE_ONLY
AE,"Combined (583 Backdoor + 37,000 Benign)",37583,0,36981,19,583,0.0,0.4922399105526568,0.49974324324324326,0.4959631993991739,0.0,0.0,0.0,0.49974324324324326,0.0005135135135135136,0.0,0.006545990851453902,DESCRIPTIVE_ONLY
C01,"Combined (583 Backdoor + 37,000 Benign)",37583,582,29900,7100,1,0.9982847341337907,0.5378640383699255,0.9031964211209493,0.5173464672764163,0.0757615204373861,0.9982847341337907,0.14083484573502722,0.9031964211209493,0.1918918918918919,0.9903487843853768,0.9996971492600867,DESCRIPTIVE_ONLY
C06,"Combined (583 Backdoor + 37,000 Benign)",37583,582,29887,7113,1,0.9982847341337907,0.5378000350104979,0.9030207454452737,0.5171283898462179,0.07563352826510722,0.9982847341337907,0.14061367480067652,0.9030207454452737,0.19224324324324324,0.9903487843853768,0.9996971492600867,FORMAL_GENERALIZATION_DECISION
